scorer,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000
bodyparts,BeamLeft,BeamLeft,BeamLeft,BeamMiddle,BeamMiddle,BeamMiddle,BeamRight,BeamRight,BeamRight
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
36,475.6432800292969,35.423614501953125,0.0025921205524355173,472.7861022949219,33.80140686035156,0.0015786340227350593,469.5242004394531,36.2671012878418,0.012520023621618748
37,476.18353271484375,35.566036224365234,0.002523330505937338,1135.8983154296875,90.00691223144531,0.0015665822429582477,469.86968994140625,36.47673034667969,0.011092955246567726
38,476.0838317871094,35.543060302734375,0.003026774153113365,473.0495910644531,33.55015563964844,0.0016695798840373755,470.2810974121094,36.67405700683594,0.012902775779366493
39,475.9013366699219,35.60354995727539,0.0034015243873000145,473.4031982421875,33.76076126098633,0.002101173158735037,469.653076171875,36.31699752807617,0.014124438166618347
40,476.1752624511719,35.77008056640625,0.0023409652058035135,472.5506896972656,33.59748840332031,0.0011669007362797856,470.4773254394531,36.7313117980957,0.009737515822052956
41,476.4200134277344,35.43061447143555,0.0021363217383623123,472.22271728515625,33.515167236328125,0.0010898660402745008,469.8675537109375,36.13282775878906,0.010728738270699978
42,476.2505798339844,35.4259033203125,0.0022528867702931166,1135.858642578125,89.4367446899414,0.0012394693912938237,469.5575256347656,36.14797592163086,0.008731048554182053
43,475.7750244140625,35.51068115234375,0.0022884609643369913,472.6533203125,33.75946807861328,0.0015127337537705898,469.35443115234375,36.22920227050781,0.01248112227767706
44,475.82568359375,35.3390007019043,0.0035415140446275473,472.7199401855469,33.671844482421875,0.0019067054381594062,469.9411315917969,36.37860870361328,0.01460141222923994
45,475.88861083984375,35.414066314697266,0.0029741486068814993,473.1235656738281,33.52033996582031,0.0013902863720431924,469.52886962890625,36.27326202392578,0.01370086520910263
