scorer,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000,DLC_resnet50_BeamTraining1Dec27shuffle1_20000
bodyparts,BeamLeft,BeamLeft,BeamLeft,BeamMiddle,BeamMiddle,BeamMiddle,BeamRight,BeamRight,BeamRight
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,476.3857116699219,35.88058090209961,0.001615729066543281,1135.8084716796875,89.95494079589844,0.001040983246639371,470.5629577636719,36.533443450927734,0.008519962430000305
1,475.55108642578125,35.07171630859375,0.004021274857223034,473.50872802734375,33.405723571777344,0.0019459030590951443,469.1455383300781,36.01994705200195,0.018491944298148155
2,475.7076110839844,35.735321044921875,0.0025645762216299772,472.9134826660156,33.747535705566406,0.001461485750041902,469.6905212402344,36.788143157958984,0.014157484285533428
3,476.0331115722656,35.339393615722656,0.003276980947703123,472.08984375,33.350406646728516,0.001681810012087226,470.0788879394531,36.255699157714844,0.017494291067123413
4,469.6970520019531,37.905757904052734,0.0030613525304943323,473.5659484863281,33.6195182800293,0.0015823872527107596,468.7102966308594,36.11884307861328,0.019158393144607544
5,475.58404541015625,35.24140930175781,0.0027091456577181816,473.3208312988281,33.31882095336914,0.0013022510102018714,468.9081115722656,36.219791412353516,0.013473642989993095
6,475.66864013671875,35.44175720214844,0.0040136161260306835,473.6896057128906,33.65239715576172,0.001881249132566154,469.1811218261719,36.100440979003906,0.01692831888794899
7,475.58941650390625,35.70805740356445,0.002295473124831915,472.69293212890625,33.94137191772461,0.0013002705527469516,469.7896423339844,36.549346923828125,0.012449524365365505
8,475.8076477050781,35.6883659362793,0.0018729922594502568,473.8069763183594,33.96215057373047,0.001259421929717064,469.0367431640625,36.682167053222656,0.009861708618700504
9,475.8995666503906,35.53485870361328,0.0027975954581052065,473.374755859375,33.521854400634766,0.0014092213241383433,469.580322265625,36.4041748046875,0.011044720187783241
10,476.0624084472656,35.367095947265625,0.002311686985194683,472.9998474121094,33.60826110839844,0.0013572190655395389,469.74560546875,36.32842254638672,0.011000421829521656
11,475.70526123046875,35.50975799560547,0.0022670708131045103,472.38873291015625,33.61634826660156,0.0013694206718355417,469.2978210449219,36.29743194580078,0.010375321842730045
12,475.9427795410156,35.67948913574219,0.001963684568181634,1136.0689697265625,89.7090835571289,0.0014821549411863089,469.2502746582031,36.47518539428711,0.010350098833441734
13,476.384765625,35.299251556396484,0.002362227998673916,472.57098388671875,33.65464401245117,0.0012625325471162796,469.98822021484375,35.904293060302734,0.00924836564809084
14,476.2600402832031,35.72821044921875,0.002013296587392688,1135.5921630859375,89.81928253173828,0.0012879420537501574,470.0798034667969,36.583621978759766,0.009089064784348011
15,475.3271484375,35.601036071777344,0.00338065717369318,473.4229431152344,33.64314651489258,0.0019263038411736488,469.029052734375,36.48474884033203,0.017775386571884155
16,475.8741149902344,34.97343826293945,0.002522710245102644,473.4633483886719,33.445892333984375,0.0012172850547358394,468.7645568847656,35.852882385253906,0.01181931234896183
17,475.1280212402344,35.59257888793945,0.00388700352050364,472.8306884765625,33.40791702270508,0.0019744825549423695,469.7543640136719,36.48897171020508,0.018959127366542816
18,476.1785583496094,35.61995315551758,0.002990632550790906,473.87335205078125,33.878936767578125,0.0015502646565437317,469.9294128417969,36.37091064453125,0.01410620380192995
19,475.2023010253906,35.479637145996094,0.003194202668964863,473.13726806640625,33.96360778808594,0.0017355275340378284,468.97979736328125,36.196510314941406,0.01615539751946926
20,475.4508972167969,35.259979248046875,0.003278266405686736,473.5020446777344,33.708465576171875,0.0016356201376765966,468.9020080566406,36.10874557495117,0.013633443042635918
21,475.78448486328125,35.52922821044922,0.0032977107912302017,473.14691162109375,33.612064361572266,0.0014666783390566707,469.8334045410156,36.58392333984375,0.014710543677210808
22,475.76885986328125,34.890220642089844,0.00325594050809741,472.93768310546875,33.43685531616211,0.0017177729168906808,469.65557861328125,36.014530181884766,0.015324302949011326
23,476.06494140625,35.02643585205078,0.002779005328193307,472.6470642089844,33.418487548828125,0.0014822883531451225,469.6213684082031,35.83603286743164,0.01257789321243763
24,476.025390625,35.34221649169922,0.0029198687989264727,1135.9483642578125,89.9463119506836,0.0014649182558059692,469.7890319824219,36.13642120361328,0.015370845794677734
25,475.96295166015625,35.50505828857422,0.0027195338625460863,472.53704833984375,33.626548767089844,0.0012007675832137465,469.8283386230469,36.3086051940918,0.0123605253174901
26,475.7301025390625,35.463111877441406,0.0029586311429739,472.9309387207031,33.68095016479492,0.0016452936688438058,469.54791259765625,36.3400764465332,0.01342029683291912
27,475.6430969238281,35.165523529052734,0.0031510647386312485,473.0790710449219,33.38236999511719,0.0015942862955853343,469.1122741699219,35.949989318847656,0.017710033804178238
28,475.7596435546875,35.9994010925293,0.0023081330582499504,1135.85595703125,89.7603530883789,0.0014582485891878605,469.69989013671875,36.727088928222656,0.009387759491801262
29,475.8653259277344,35.68628692626953,0.0027174046263098717,472.75994873046875,33.68146896362305,0.0015986764337867498,469.8798828125,36.46613311767578,0.011637133546173573
30,476.1506652832031,35.681068420410156,0.002687631407752633,472.9836120605469,33.71355438232422,0.0014277072623372078,469.8399963378906,36.48392105102539,0.01234212052077055
31,476.3433532714844,35.73454284667969,0.0023454041220247746,472.4180603027344,33.44424057006836,0.0011647995561361313,470.48388671875,36.5349235534668,0.010457613505423069
32,476.34912109375,35.201175689697266,0.002367151901125908,472.54278564453125,33.327491760253906,0.0012015594402328134,469.9410095214844,35.98303985595703,0.010718722827732563
33,476.0092468261719,35.54226303100586,0.0023162011057138443,473.21026611328125,33.71347427368164,0.0013518859632313251,469.4582214355469,36.35011291503906,0.010401160456240177
34,475.9207458496094,35.506404876708984,0.002615900244563818,473.5718994140625,33.694908142089844,0.0012354684295132756,469.2485656738281,36.39970016479492,0.011619399301707745
35,476.16424560546875,36.021629333496094,0.0022348598577082157,472.9547119140625,33.84822082519531,0.00150931510142982,470.3502197265625,36.9578857421875,0.012563570402562618
